activity_0,activity_1,activity_count_0,activity_count_1,adjacency_rate,blocked_partner0,blocked_partner1,blocked_partner_total,blocked_wall0,blocked_wall1,blocked_wall_total,collisions,condition,contribution_ratio_0,contribution_ratio_1,efficiency_0,efficiency_1,event_trigger,exp0_count,exp0_rate,exp1_count,exp1_rate,exp_any_count,exp_any_rate,goal_change_only,handoff_total,horizon,idle_rate0,idle_rate1,idle_rate_avg,interactivity_0,interactivity_1,interactivity_count_0,interactivity_count_1,layout,mean_delivery_interval,mode,objs_after_avg,objs_before_avg,plate_pickup_total,plate_pickup_while_cooking_count,plate_pickup_while_cooking_rate,pot_cooking_rate,pot_empty_rate,pot_ready_wait_rate,productive_actions_0,productive_actions_1,productive_actions_total,seed,soups_delivered,time_to_first_delivery,timesteps,total_game_reward,total_shaped_reward
0.465,0.2725,372,218,0.6175,2,2,4,63,39,102,1,exp,0.7821229050279329,0.21787709497206703,817.2043010752687,1394.4954128440365,True,0,0.0,180,0.225,180,0.225,True,0,800,0.5375,0.73,0.63375,0.175,0.0725,140,58,cramped_room,40.611111111111114,both,0.8525,0.85125,20,0,0.0,0.4575,0.14875,0.075,140,39,179,8,19,48,800,380.0,308.0
0.44125,0.28375,353,227,0.56,2,1,3,63,43,106,1,exp,0.7802197802197802,0.21978021978021978,906.5155807365439,1409.691629955947,True,0,0.0,187,0.23375,187,0.23375,True,0,800,0.56125,0.7175,0.639375,0.1775,0.075,142,60,cramped_room,39.68421052631579,both,0.85875,0.8575,20,0,0.0,0.475,0.1425,0.08,142,40,182,9,20,45,800,400.0,325.0
0.455,0.27,364,216,0.63875,12,2,14,56,39,95,2,noexp,0.7771428571428571,0.22285714285714286,835.1648351648352,1407.4074074074074,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56,0.7325,0.64625,0.17,0.0725,136,58,cramped_room,41.55555555555556,both,0.87125,0.87,20,0,0.0,0.45125,0.13,0.0725,136,39,175,0,19,42,800,380.0,323.0
0.4425,0.25875,354,207,0.57,5,2,7,55,39,94,1,noexp,0.7823529411764706,0.21764705882352942,813.5593220338983,1391.304347826087,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56375,0.74375,0.65375,0.16625,0.06875,133,55,cramped_room,42.1764705882353,both,0.85875,0.8575,19,0,0.0,0.44875,0.1425,0.07125,133,37,170,10,18,49,800,360.0,306.0
0.44,0.27375,352,219,0.60625,7,2,9,59,40,99,2,noexp,0.7771428571428571,0.22285714285714286,863.6363636363636,1388.1278538812785,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56875,0.72875,0.6487499999999999,0.17,0.0725,136,58,cramped_room,41.5,both,0.8725,0.87125,20,0,0.0,0.45125,0.12875,0.07375,136,39,175,11,19,46,800,380.0,320.0
0.46375,0.26,371,208,0.57125,8,2,10,55,38,93,2,noexp,0.7810650887573964,0.21893491124260356,776.2803234501348,1384.6153846153845,True,0,0.0,0,0.0,0,0.0,True,0,800,0.54625,0.7425,0.644375,0.165,0.06875,132,55,cramped_room,43.529411764705884,both,0.865,0.86375,19,0,0.0,0.4275,0.13625,0.0725,132,37,169,12,18,46,800,360.0,303.0
0.43125,0.265,345,212,0.5825,7,1,8,56,40,96,1,noexp,0.783625730994152,0.21637426900584794,834.7826086956521,1358.4905660377358,True,0,0.0,0,0.0,0,0.0,True,0,800,0.5775,0.73625,0.656875,0.1675,0.07,134,56,cramped_room,41.76470588235294,both,0.865,0.865,19,0,0.0,0.45125,0.135,0.07625,134,37,171,13,18,45,800,360.0,314.0
0.43375,0.2575,347,206,0.59625,12,1,13,55,39,94,1,noexp,0.7823529411764706,0.21764705882352942,829.9711815561959,1398.0582524271845,True,0,0.0,0,0.0,0,0.0,True,0,800,0.58125,0.74375,0.6625000000000001,0.16625,0.06875,133,55,cramped_room,42.294117647058826,both,0.86875,0.8675,19,0,0.0,0.45125,0.1325,0.07125,133,37,170,14,18,49,800,360.0,309.0
0.44375,0.27125,355,217,0.6025,4,1,5,55,39,94,1,noexp,0.7790697674418605,0.22093023255813954,856.3380281690141,1400.921658986175,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56125,0.73,0.645625,0.1675,0.07125,134,57,cramped_room,41.666666666666664,both,0.86625,0.86625,19,0,0.0,0.45125,0.13375,0.0725,134,38,172,15,19,46,800,380.0,317.0
0.435,0.27125,348,217,0.595,5,1,6,60,41,101,1,noexp,0.7784090909090909,0.2215909090909091,873.5632183908046,1400.921658986175,True,0,0.0,0,0.0,0,0.0,True,0,800,0.57125,0.73,0.650625,0.17125,0.0725,137,58,cramped_room,41,both,0.8675,0.86625,20,0,0.0,0.45125,0.13375,0.07625,137,39,176,16,19,45,800,380.0,320.0
0.435,0.2675,348,214,0.57125,2,0,2,58,40,98,0,noexp,0.7803468208092486,0.21965317919075145,873.5632183908046,1420.5607476635514,True,0,0.0,0,0.0,0,0.0,True,0,800,0.5675,0.7325,0.65,0.16875,0.07125,135,57,cramped_room,41.666666666666664,both,0.875,0.87375,19,0,0.0,0.45125,0.12625,0.075,135,38,173,17,19,47,800,380.0,320.0
0.445,0.2775,356,222,0.56625,5,3,8,58,42,100,3,noexp,0.7821229050279329,0.21787709497206703,853.9325842696629,1369.3693693693692,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56125,0.72625,0.64375,0.175,0.0725,140,58,cramped_room,40.888888888888886,both,0.85625,0.855,20,0,0.0,0.4625,0.145,0.07625,140,39,179,18,19,42,800,380.0,326.0
0.445,0.27,356,216,0.54375,11,3,14,54,41,95,3,noexp,0.783625730994152,0.21637426900584794,808.9887640449438,1333.3333333333333,True,0,0.0,0,0.0,0,0.0,True,0,800,0.56875,0.73375,0.65125,0.1675,0.07,134,56,cramped_room,41.8235294117647,both,0.8775,0.8775,19,0,0.0,0.45125,0.1225,0.0775,134,37,171,19,18,52,800,360.0,317.0
0.45125,0.26875,361,215,0.61,5,0,5,59,40,99,0,noexp,0.7821229050279329,0.21787709497206703,842.1052631578948,1413.953488372093,True,0,0.0,0,0.0,0,0.0,True,0,800,0.555,0.73125,0.643125,0.175,0.0725,140,58,cramped_room,40.44444444444444,both,0.8725,0.87125,20,0,0.0,0.46875,0.12875,0.07625,140,39,179,1,19,45,800,380.0,323.0
